network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
455,63.2732,-149.224,701.18,I-A4@+X19I
456,63.2914,-149.213,721.47,I-A4@+X20
457,63.3263,-149.132,721.13,I-A4@AirAccRd
458,63.3377,-149.107,729.81,I-A4@+X20A
459,63.3696,-148.997,682.36,I-A4@+X20B
460,63.3831,-148.916,655.74,I-A4@OldParHwy
461,63.3905,-148.902,653.14,I-A4@AK8
462,63.4339,-148.868,630.54,I-A4@+X21
463,63.4585,-148.803,621.85,I-A4@+x123456
464,63.4837,-148.823,607.49,I-A4@+X23
465,63.5104,-148.813,613.93,I-A4@+X520164
466,63.5196,-148.802,599.53,I-A4@+X24
467,63.5373,-148.804,596.67,I-A4@+X24A
468,63.5583,-148.821,597.76,I-A4@+X25
469,63.5969,-148.805,647.79,I-A4@+X25A
470,63.6159,-148.783,644.42,I-A4@+X362010
471,63.6305,-148.783,633.9,I-A4@+x345678
472,63.6338,-148.787,628.99,I-A4@DenAir
473,63.6465,-148.805,615.8,I-A4@+X876543
474,63.6546,-148.834,561.09,I-A4@YanRd
475,63.6623,-148.84,570.1,I-A4@+X27
476,63.6732,-148.824,580.42,I-A4@+X28
477,63.6876,-148.842,557.28,I-A4@+X28A
478,63.7015,-148.878,556.94,I-A4@+X29
479,63.7193,-148.897,535.36,I-A4@+X30
480,63.7285,-148.886,481.66,I-A4@DenNPRd
481,63.7493,-148.9,480.46,I-A4@CanDr
482,63.781,-148.91,453.53,I-A4@+X31
483,63.8016,-148.929,477.79,I-A4@+X35
484,63.8048,-148.953,511.47,I-A4@+X35A
485,63.8324,-149.006,537.73,I-A4@+X36
486,63.8475,-149.014,538.69,I-A4@OttoLakeRd
487,63.8691,-149.028,464.81,I-A4@HeaSpurRd
488,63.8792,-149.033,451.19,I-A4@ParkLn
489,63.8946,-149.067,440.36,I-A4@LigRd
490,63.9349,-149.103,413.33,I-A4@+X36M
491,63.9419,-149.118,434.19,I-A4@+X37
492,63.9633,-149.125,410.77,I-A4@+X197449
493,63.9805,-149.118,370.51,I-A4@+X37A
494,64.0036,-149.138,336.43,I-A4@FerRd
495,64.0158,-149.142,315.68,I-A4@RockCrkRd
496,64.0334,-149.145,314.14,I-A4@+X38
497,64.0668,-149.199,329.67,I-A4@+X38A
498,64.0929,-149.227,304.59,I-A4@WasWay
499,64.1124,-149.245,290.53,I-A4@+X38B
500,64.1294,-149.249,264.09,I-A4@+X49
501,64.1522,-149.281,266.11,I-A4@+X40
502,64.1843,-149.299,248.81,I-A4@+X45
503,64.2122,-149.3,232.26,I-A4@KobeRd
504,64.2166,-149.294,217.41,I-A4@+X399462
505,64.2202,-149.253,220.01,I-A4@+X554926
506,64.2546,-149.188,195.16,I-A4@+X46
507,64.2689,-149.122,186.3,I-A4@+X47
508,64.286,-149.095,172.78,I-A4@CleRd
